dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,0,knn,knn,,,,,,,-13.735172,-2.372233,0.839000,0.000000,16,0.015500,36,1630,16,0,0:1;1:2;2:1;3:1;4:2;5:2;7:2;8:3;9:1;10:6;11:8;12:7,BVH:9;Octree:27,Octree:1630,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1,knn,knn,,,,,,,-13.498172,-1.820233,0.552000,0.000000,16,0.009800,43,1782,16,0,0:1;1:2;2:1;3:1;4:2;5:2;7:2;8:3;9:6;10:8;11:7;12:8,BVH:9;Octree:34,Octree:1782,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,2,knn,knn,,,,,,,-13.350172,-1.663233,0.854000,0.000000,16,0.009200,36,2185,16,0,0:1;1:2;2:1;3:1;4:2;5:2;7:2;8:3;9:1;10:6;11:8;12:7,BVH:9;Octree:27,Octree:2185,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,3,knn,knn,,,,,,,11.360828,-1.885233,-2.914000,0.000000,16,0.011500,49,1543,16,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:1;8:7;9:9;10:4;11:8;12:7,BVH:13;Octree:36,Octree:1543,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,4,knn,knn,,,,,,,3.656828,-1.791233,-4.744000,0.000000,16,0.011300,46,842,16,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:7;9:8;10:4;11:8;12:4,BVH:13;Octree:33,Octree:842,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,5,knn,knn,,,,,,,-8.978172,-1.486233,1.616000,0.000000,16,0.010900,45,896,16,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:6;9:6;10:5;11:8;12:7,BVH:11;Octree:34,Octree:896,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,6,knn,knn,,,,,,,-8.053172,-1.553233,1.398000,0.000000,16,0.009000,41,462,16,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:6;9:7;10:5;11:4;12:6,BVH:11;Octree:30,Octree:462,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,7,knn,knn,,,,,,,-2.096172,-1.407233,4.177000,0.000000,16,0.009400,40,1366,16,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:5;10:4;11:4;12:4,BVH:13;Octree:27,Octree:1366,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,8,knn,knn,,,,,,,-11.640172,-1.447233,-2.331000,0.000000,16,0.007100,35,457,16,0,0:1;1:2;2:1;3:1;4:2;5:2;6:1;7:3;8:6;9:8;10:2;11:2;12:4,BVH:10;Octree:25,Octree:457,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,9,knn,knn,,,,,,,2.768828,-1.707233,-4.631000,0.000000,16,0.009700,43,1211,16,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:7;9:8;10:4;11:8;12:1,BVH:13;Octree:30,Octree:1211,,cpu,1337
