dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,0,knn,knn,,,,,,,1737.583984,1550.752930,452.523986,0.000000,16,0.013300,34,325,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:325,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,1,knn,knn,,,,,,,1884.270996,712.792969,456.380004,0.000000,16,0.005500,33,140,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:140,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,2,knn,knn,,,,,,,2896.366028,-601.224976,459.049987,0.000000,16,0.005200,33,148,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:148,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,3,knn,knn,,,,,,,2675.008118,-467.431976,425.018005,0.000000,16,0.006200,32,298,16,0,0:1;1:3;2:5;3:2;4:5;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:298,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,4,knn,knn,,,,,,,3024.602112,-557.109009,449.102996,0.000000,16,0.006000,38,299,16,0,0:1;1:3;2:5;3:3;4:6;5:5;6:5;7:5;8:5,QuadTree:38,QuadTree:299,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,5,knn,knn,,,,,,,3228.226135,-452.307983,562.343020,0.000000,16,0.005100,32,217,16,0,0:1;1:3;2:5;3:3;4:5;5:2;6:4;7:5;8:4,QuadTree:32,QuadTree:217,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,6,knn,knn,,,,,,,2030.363098,1328.802002,474.885989,0.000000,16,0.007100,38,346,16,0,0:1;1:3;2:5;3:4;4:5;5:5;6:5;7:5;8:5,QuadTree:38,QuadTree:346,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,7,knn,knn,,,,,,,2386.311096,26.749023,443.493987,0.000000,16,0.005600,33,157,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:157,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,8,knn,knn,,,,,,,2157.115051,-6.752991,435.157990,0.000000,16,0.006400,30,620,16,0,0:1;1:3;2:1;3:3;4:1;5:3;6:6;7:6;8:6,QuadTree:30,QuadTree:620,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,9,knn,knn,,,,,,,2183.161926,1216.538086,496.014010,0.000000,16,0.005900,32,328,16,0,0:1;1:3;2:3;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:32,QuadTree:328,,cpu,1337
