dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,0,knn,knn,,,,,,,1737.583984,1550.753052,452.523987,0.000000,16,0.012800,34,325,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:325,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,1,knn,knn,,,,,,,1884.270996,712.793030,456.380005,0.000000,16,0.005400,33,140,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:140,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,2,knn,knn,,,,,,,2896.365967,-601.224976,459.049988,0.000000,16,0.005000,33,148,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:148,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,3,knn,knn,,,,,,,2675.008057,-467.431976,425.018005,0.000000,16,0.005300,32,298,16,0,0:1;1:3;2:5;3:2;4:5;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:298,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,4,knn,knn,,,,,,,3024.602051,-557.109009,449.102997,0.000000,16,0.006100,38,299,16,0,0:1;1:3;2:5;3:3;4:6;5:5;6:5;7:5;8:5,QuadTree:38,QuadTree:299,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,5,knn,knn,,,,,,,3228.226074,-452.307983,562.343018,0.000000,16,0.004800,32,217,16,0,0:1;1:3;2:5;3:3;4:5;5:2;6:4;7:5;8:4,QuadTree:32,QuadTree:217,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,6,knn,knn,,,,,,,2030.363037,1328.802002,474.885986,0.000000,16,0.006200,38,346,16,0,0:1;1:3;2:5;3:4;4:5;5:5;6:5;7:5;8:5,QuadTree:38,QuadTree:346,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,7,knn,knn,,,,,,,2386.311035,26.749016,443.493988,0.000000,16,0.004900,33,157,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:157,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,8,knn,knn,,,,,,,2157.114990,-6.752984,435.157990,0.000000,16,0.006000,30,620,16,0,0:1;1:3;2:1;3:3;4:1;5:3;6:6;7:6;8:6,QuadTree:30,QuadTree:620,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,9,knn,knn,,,,,,,2183.161865,1216.537964,496.014008,0.000000,16,0.005300,32,328,16,0,0:1;1:3;2:3;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:32,QuadTree:328,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,10,knn,knn,,,,,,,2863.572021,-329.667969,464.399994,0.000000,16,0.008100,33,362,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:362,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,11,knn,knn,,,,,,,2722.846924,-672.597961,413.346008,0.000000,16,0.005600,33,272,16,0,0:1;1:3;2:5;3:2;4:3;5:4;6:5;7:5;8:5,QuadTree:33,QuadTree:272,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,12,knn,knn,,,,,,,1464.064941,776.895020,446.071991,0.000000,16,0.004400,32,144,16,0,0:1;1:3;2:5;3:2;4:5;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:144,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,13,knn,knn,,,,,,,3350.826904,-303.782990,566.674011,0.000000,16,0.005600,34,307,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:307,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,14,knn,knn,,,,,,,2960.806885,-366.806976,478.431000,0.000000,16,0.004500,33,182,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:182,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,15,knn,knn,,,,,,,1595.688965,495.263031,449.338989,0.000000,16,0.005100,33,435,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:435,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,16,knn,knn,,,,,,,2203.061035,-60.754986,434.720001,0.000000,16,0.004900,35,261,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:5,QuadTree:35,QuadTree:261,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,17,knn,knn,,,,,,,2992.407959,-72.939987,555.445007,0.000000,16,0.005000,33,357,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:357,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,18,knn,knn,,,,,,,1916.530029,1177.058960,457.695007,0.000000,16,0.004400,33,157,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:157,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,19,knn,knn,,,,,,,1954.168945,200.008011,440.778992,0.000000,16,0.004700,28,270,16,0,0:1;1:3;2:1;3:3;4:4;5:4;6:4;7:4;8:4,QuadTree:28,QuadTree:270,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,20,knn,knn,,,,,,,3147.499023,-464.233978,496.601013,0.000000,16,0.004800,33,238,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:238,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,21,knn,knn,,,,,,,1526.536011,666.825989,448.433014,0.000000,16,0.004600,31,156,16,0,0:1;1:3;2:5;3:2;4:4;5:4;6:4;7:4;8:4,QuadTree:31,QuadTree:156,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,22,knn,knn,,,,,,,2423.827881,-189.239990,429.648010,0.000000,16,0.004800,33,130,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:130,,cpu,1337
